"","aine","kirjat","aine_kokonimi"
"1",1,"3","Englanti"
"2",1,"3","Englanti"
"3",1,"3","Englanti"
"4",1,"5","Englanti"
"5",1,"5","Englanti"
"6",1,"4","Englanti"
"7",1,"2","Englanti"
"8",1,"2","Englanti"
"9",1,"2","Englanti"
"10",1,"2","Englanti"
"11",1,"4","Englanti"
"12",1,"4","Englanti"
"13",1,"2","Englanti"
"14",1,"5","Englanti"
"15",1,"5","Englanti"
"16",1,"2","Englanti"
"17",1,"5","Englanti"
"18",1,"4","Englanti"
"19",1,"5","Englanti"
"20",1,"4","Englanti"
"21",1,"4","Englanti"
"22",1,"2","Englanti"
"23",1,"5","Englanti"
"24",1,"3","Englanti"
"25",1,"2","Englanti"
"26",1,"4","Englanti"
"27",1,"2","Englanti"
"28",1,"4","Englanti"
"29",1,"2","Englanti"
"30",1,"4","Englanti"
"31",1,"4","Englanti"
"32",1,"5","Englanti"
"33",1,"2","Englanti"
"34",1,"2","Englanti"
"35",1,"1","Englanti"
"36",1,"2","Englanti"
"37",1,"4","Englanti"
"38",1,"3","Englanti"
"39",1,"2","Englanti"
"40",1,"5","Englanti"
"41",1,"5","Englanti"
"42",1,"5","Englanti"
"43",1,"4","Englanti"
"44",1,"2","Englanti"
"45",1,"5","Englanti"
"46",1,"2","Englanti"
"47",1,"3","Englanti"
"48",1,"4","Englanti"
"49",1,"4","Englanti"
"50",1,"5","Englanti"
"51",1,"3","Englanti"
"52",1,"4","Englanti"
"53",1,"4","Englanti"
"54",1,"3","Englanti"
"55",1,"4","Englanti"
"56",1,"3","Englanti"
"57",1,"3","Englanti"
"58",1,"5","Englanti"
"59",1,"3","Englanti"
"60",1,"5","Englanti"
"61",1,"4","Englanti"
"62",1,"4","Englanti"
"63",1,"4","Englanti"
"64",1,"5","Englanti"
"65",1,"4","Englanti"
"66",1,"3","Englanti"
"67",1,"4","Englanti"
"68",1,"4","Englanti"
"69",1,"4","Englanti"
"70",1,"2","Englanti"
"71",1,"2","Englanti"
"72",1,"3","Englanti"
"73",1,"3","Englanti"
"74",1,"2","Englanti"
"75",1,"3","Englanti"
"76",1,"4","Englanti"
"77",1,"4","Englanti"
"78",1,"2","Englanti"
"79",1,"4","Englanti"
"80",1,"5","Englanti"
"81",1,"3","Englanti"
"82",1,"4","Englanti"
"83",1,"3","Englanti"
"84",1,"2","Englanti"
"85",1,"4","Englanti"
"86",1,"2","Englanti"
"87",1,"3","Englanti"
"88",1,"3","Englanti"
"89",1,"3","Englanti"
"90",1,"2","Englanti"
"91",1,"4","Englanti"
"92",1,"2","Englanti"
"93",1,"4","Englanti"
"94",1,"3","Englanti"
"95",1,"4","Englanti"
"96",1,"4","Englanti"
"97",1,"3","Englanti"
"98",1,"4","Englanti"
"99",1,"5","Englanti"
"100",1,"2","Englanti"
"101",1,"5","Englanti"
"102",1,"2","Englanti"
"103",1,"2","Englanti"
"104",1,"2","Englanti"
"105",1,"2","Englanti"
"106",2,"3","Ruotsi"
"107",2,"5","Ruotsi"
"108",2,"3","Ruotsi"
"109",2,"5","Ruotsi"
"110",2,"4","Ruotsi"
"111",2,"2","Ruotsi"
"112",2,"2","Ruotsi"
"113",2,"2","Ruotsi"
"114",2,"5","Ruotsi"
"115",2,"4","Ruotsi"
"116",2,"5","Ruotsi"
"117",2,"4","Ruotsi"
"118",2,"3","Ruotsi"
"119",2,"2","Ruotsi"
"120",2,"4","Ruotsi"
"121",2,"2","Ruotsi"
"122",2,"4","Ruotsi"
"123",2,"2","Ruotsi"
"124",2,"2","Ruotsi"
"125",2,"4","Ruotsi"
"126",2,"5","Ruotsi"
"127",2,"5","Ruotsi"
"128",2,"2","Ruotsi"
"129",2,"5","Ruotsi"
"130",2,"2","Ruotsi"
"131",2,"4","Ruotsi"
"132",2,"5","Ruotsi"
"133",2,"3","Ruotsi"
"134",2,"4","Ruotsi"
"135",2,"3","Ruotsi"
"136",2,"3","Ruotsi"
"137",2,"3","Ruotsi"
"138",2,"5","Ruotsi"
"139",2,"1","Ruotsi"
"140",2,"2","Ruotsi"
"141",2,"4","Ruotsi"
"142",2,"4","Ruotsi"
"143",2,"4","Ruotsi"
"144",2,"3","Ruotsi"
"145",2,"3","Ruotsi"
"146",2,"2","Ruotsi"
"147",2,"2","Ruotsi"
"148",2,"3","Ruotsi"
"149",2,"2","Ruotsi"
"150",2,"3","Ruotsi"
"151",2,"4","Ruotsi"
"152",2,"2","Ruotsi"
"153",2,"5","Ruotsi"
"154",2,"3","Ruotsi"
"155",2,"3","Ruotsi"
"156",2,"3","Ruotsi"
"157",2,"2","Ruotsi"
"158",19,"3","Suomi 2. kiel."
"159",19,"2","Suomi 2. kiel."
"160",19,"2","Suomi 2. kiel."
"161",19,"2","Suomi 2. kiel."
"162",19,"4","Suomi 2. kiel."
"163",19,"3","Suomi 2. kiel."
"164",19,"3","Suomi 2. kiel."
"165",19,"4","Suomi 2. kiel."
"166",19,"3","Suomi 2. kiel."
"167",19,"4","Suomi 2. kiel."
"168",19,"4","Suomi 2. kiel."
"169",19,"2","Suomi 2. kiel."
"170",19,"3","Suomi 2. kiel."
"171",19,"2","Suomi 2. kiel."
"172",19,"5","Suomi 2. kiel."
"173",19,"4","Suomi 2. kiel."
"174",19,"4","Suomi 2. kiel."
"175",19,"5","Suomi 2. kiel."
"176",19,"2","Suomi 2. kiel."
"177",19,"2","Suomi 2. kiel."
"178",19,"4","Suomi 2. kiel."
"179",19,"2","Suomi 2. kiel."
"180",3,"5","Muu kieli"
"181",3,"2","Muu kieli"
"182",3,"5","Muu kieli"
"183",3,"5","Muu kieli"
"184",3,"5","Muu kieli"
"185",3,"4","Muu kieli"
"186",3,"3","Muu kieli"
"187",3,"4","Muu kieli"
"188",3,"3","Muu kieli"
"189",3,"5","Muu kieli"
"190",3,"2","Muu kieli"
"191",3,"1","Muu kieli"
"192",3,"3","Muu kieli"
"193",3,"5","Muu kieli"
"194",3,"4","Muu kieli"
"195",3,"2","Muu kieli"
"196",3,"4","Muu kieli"
"197",3,"4","Muu kieli"
"198",3,"4","Muu kieli"
"199",3,"3","Muu kieli"
"200",3,"3","Muu kieli"
"201",3,"5","Muu kieli"
"202",3,"2","Muu kieli"
"203",3,"4","Muu kieli"
"204",3,"4","Muu kieli"
"205",3,"3","Muu kieli"
"206",3,"2","Muu kieli"
"207",3,"2","Muu kieli"
"208",3,"2","Muu kieli"
"209",3,"3","Muu kieli"
"210",3,"4","Muu kieli"
"211",3,"4","Muu kieli"
"212",3,"4","Muu kieli"
"213",3,"3","Muu kieli"
"214",3,"3","Muu kieli"
"215",3,"2","Muu kieli"
"216",3,"3","Muu kieli"
"217",3,"2","Muu kieli"
"218",3,"2","Muu kieli"
"219",3,"4","Muu kieli"
"220",3,"3","Muu kieli"
"221",3,"3","Muu kieli"
